"location_name","latitude","longitude","date","daily_rainfall_total_inches"
"Blanco Road Dam","29.6248","-98.52135","2018-11-22","0.01"
"Blanco Road Dam","29.6248","-98.52135","2018-11-23","0.01"
"Blanco Road Dam","29.6248","-98.52135","2018-11-24","0.01"
"Blanco Road Dam","29.6248","-98.52135","2018-11-25","0.01"
"Blanco Road Dam","29.6248","-98.52135","2018-11-26","0.01"
"Blanco Road Dam","29.6248","-98.52135","2018-11-27","0.01"
"Blanco Road Dam","29.6248","-98.52135","2018-11-28","0.02"
"Blanco Road Dam","29.6248","-98.52135","2018-11-29","0.03"
"Blanco Road Dam","29.6248","-98.52135","2018-11-30","0.04"
"Blanco Road Dam","29.6248","-98.52135","2018-12-01","0.04"
"Blanco Road Dam","29.6248","-98.52135","2018-12-02","0.04"
"Blanco Road Dam","29.6248","-98.52135","2018-12-03","0"
"Blanco Road Dam","29.6248","-98.52135","2018-12-04","0"
"Blanco Road Dam","29.6248","-98.52135","2018-12-05","0"
"Blanco Road Dam","29.6248","-98.52135","2018-12-06","0.04"
"Blanco Road Dam","29.6248","-98.52135","2018-12-07","1.98"
"Blanco Road Dam","29.6248","-98.52135","2018-12-08","0.12"
"Blanco Road Dam","29.6248","-98.52135","2018-12-09","0.01"
"Blanco Road Dam","29.6248","-98.52135","2018-12-10","0.01"
"Blanco Road Dam","29.6248","-98.52135","2018-12-11","0.01"
"Blanco Road Dam","29.6248","-98.52135","2018-12-12","0.01"
"Blanco Road Dam","29.6248","-98.52135","2018-12-13","0.01"
"Blanco Road Dam","29.6248","-98.52135","2018-12-14","0.01"
"Blanco Road Dam","29.6248","-98.52135","2018-12-15","0.01"
"Blanco Road Dam","29.6248","-98.52135","2018-12-16","0.01"
"Blanco Road Dam","29.6248","-98.52135","2018-12-17","0"
"Blanco Road Dam","29.6248","-98.52135","2018-12-18","0"
"Blanco Road Dam","29.6248","-98.52135","2018-12-19","0.02"
"Blanco Road Dam","29.6248","-98.52135","2018-12-20","0.02"
"Blanco Road Dam","29.6248","-98.52135","2018-12-21","0.02"
"Blanco Road Dam","29.6248","-98.52135","2018-12-22","0.02"
"Blanco Road Dam","29.6248","-98.52135","2018-12-23","0.01"
"Blanco Road Dam","29.6248","-98.52135","2018-12-24","0"
"Blanco Road Dam","29.6248","-98.52135","2018-12-25","0"
"Blanco Road Dam","29.6248","-98.52135","2018-12-26","0.41"
"Blanco Road Dam","29.6248","-98.52135","2018-12-27","0.64"
"Blanco Road Dam","29.6248","-98.52135","2018-12-28","0"
"Blanco Road Dam","29.6248","-98.52135","2018-12-29","0.04"
"Blanco Road Dam","29.6248","-98.52135","2018-12-30","0.13"
"Blanco Road Dam","29.6248","-98.52135","2018-12-31","0"
"Blanco Road Dam","29.6248","-98.52135","2019-01-01","0.02"
"Blanco Road Dam","29.6248","-98.52135","2019-01-02","0.56"
"Blanco Road Dam","29.6248","-98.52135","2019-01-03","0.1"
"Blanco Road Dam","29.6248","-98.52135","2019-01-04","0.01"
"Blanco Road Dam","29.6248","-98.52135","2019-01-05","0.01"
"Blanco Road Dam","29.6248","-98.52135","2019-01-06","0.01"
"Blanco Road Dam","29.6248","-98.52135","2019-01-07","0.02"
"Blanco Road Dam","29.6248","-98.52135","2019-01-08","0.02"
"Blanco Road Dam","29.6248","-98.52135","2019-01-09","0.03"
"Blanco Road Dam","29.6248","-98.52135","2019-01-10","0.03"
"Blanco Road Dam","29.6248","-98.52135","2019-01-11","0.35"
"Blanco Road Dam","29.6248","-98.52135","2019-01-12","0.02"
"Blanco Road Dam","29.6248","-98.52135","2019-01-13","0.02"
"Blanco Road Dam","29.6248","-98.52135","2019-01-14","0.02"
"Blanco Road Dam","29.6248","-98.52135","2019-01-15","0.01"
"Blanco Road Dam","29.6248","-98.52135","2019-01-16","0.02"
"Blanco Road Dam","29.6248","-98.52135","2019-01-17","0.03"
"Blanco Road Dam","29.6248","-98.52135","2019-01-18","0.03"
"Blanco Road Dam","29.6248","-98.52135","2019-01-19","0.02"
"Blanco Road Dam","29.6248","-98.52135","2019-01-20","0.02"
"Blanco Road Dam","29.6248","-98.52135","2019-01-21","0.02"
"Blanco Road Dam","29.6248","-98.52135","2019-01-22","0.17"
"Blanco Road Dam","29.6248","-98.52135","2019-01-23","0.04"
"Blanco Road Dam","29.6248","-98.52135","2019-01-24","0.02"
"Blanco Road Dam","29.6248","-98.52135","2019-01-25","0.02"
"Blanco Road Dam","29.6248","-98.52135","2019-01-26","0.02"
"Blanco Road Dam","29.6248","-98.52135","2019-01-27","0.43"
"Blanco Road Dam","29.6248","-98.52135","2019-01-28","0.04"
"Blanco Road Dam","29.6248","-98.52135","2019-01-29","0.02"
"Blanco Road Dam","29.6248","-98.52135","2019-01-30","0.02"
"Blanco Road Dam","29.6248","-98.52135","2019-01-31","0.02"
"Blanco Road Dam","29.6248","-98.52135","2019-02-01","0.02"
"Blanco Road Dam","29.6248","-98.52135","2019-02-02","0.04"
"Blanco Road Dam","29.6248","-98.52135","2019-02-03","0.06"
"Blanco Road Dam","29.6248","-98.52135","2019-02-04","0.04"
"Blanco Road Dam","29.6248","-98.52135","2019-02-05","0.05"
"Blanco Road Dam","29.6248","-98.52135","2019-02-06","0.04"
"Blanco Road Dam","29.6248","-98.52135","2019-02-07","0.04"
"Blanco Road Dam","29.6248","-98.52135","2019-02-08","0.04"
"Blanco Road Dam","29.6248","-98.52135","2019-02-09","0.17"
"Blanco Road Dam","29.6248","-98.52135","2019-02-10","0.08"
"Blanco Road Dam","29.6248","-98.52135","2019-02-11","0.02"
"Blanco Road Dam","29.6248","-98.52135","2019-02-12","0.02"
"Blanco Road Dam","29.6248","-98.52135","2019-02-13","0.02"
"Blanco Road Dam","29.6248","-98.52135","2019-02-14","0.02"
"Blanco Road Dam","29.6248","-98.52135","2019-02-15","0.02"
"Blanco Road Dam","29.6248","-98.52135","2019-02-16","0.01"
"Blanco Road Dam","29.6248","-98.52135","2019-02-17","0"
"Blanco Road Dam","29.6248","-98.52135","2019-02-18","0"
"Blanco Road Dam","29.6248","-98.52135","2019-02-19","0.02"
"Blanco Road Dam","29.6248","-98.52135","2019-02-20","0.01"
"Blanco Road Dam","29.6248","-98.52135","2019-02-21","0.01"
"Blanco Road Dam","29.6248","-98.52135","2019-02-22","0.01"
"Blanco Road Dam","29.6248","-98.52135","2019-02-23","0.01"
"Blanco Road Dam","29.6248","-98.52135","2019-02-24","0.01"
"Blanco Road Dam","29.6248","-98.52135","2019-02-25","0.01"
"Blanco Road Dam","29.6248","-98.52135","2019-02-26","0.02"
"Blanco Road Dam","29.6248","-98.52135","2019-02-27","0.03"
